FAO Concept;LandVoc OA
common lands;
deforestation;
desertification;Land Use, Management & Investment
dryland management;Land Use, Management & Investment
farmland;Land Use, Management & Investment
forest conservation;Land Use, Management & Investment
forest degradation;Land Use, Management & Investment
forest grazing;
forest land;
forest land use;Land Use, Management & Investment
forest resources;
geographical information systems;Land Use, Management & Investment
grassland management;Land Use, Management & Investment
housing;Access to Land & Tenure Security
indigenous tenure systems;Access to Land & Tenure Security
individual land property;Access to Land & Tenure Security
land;
land access;Access to Land & Tenure Security
land administration;Land Use, Management & Investment
land classification;Land Use, Management & Investment
land cover;Land Use, Management & Investment
land cover mapping;Land Use, Management & Investment
land degradation;Land Use, Management & Investment
land improvement;Land Use, Management & Investment
land management;Land Use, Management & Investment
land markets;Land Use, Management & Investment
land ownership;Access to Land & Tenure Security
land policies;Land Policy & Legislation
land productivity;Land Use, Management & Investment
land reform;Land Policy & Legislation
land registration;Land Use, Management & Investment
land resources;Land Use, Management & Investment
land rights;Access to Land & Tenure Security
land suitability;Land Use, Management & Investment
land tax;Land Use, Management & Investment
land tenure;Access to Land & Tenure Security
land transfers;Land Use, Management & Investment
land use;Land Use, Management & Investment
land use mapping;Land Use, Management & Investment
land use planning;Land Use, Management & Investment
landowners;
multiple land use;Land Use, Management & Investment
natural resources;Land Use, Management & Investment
natural resources management;Land Use, Management & Investment
pastoral society;
pastoralism;
private ownership;
property rights;"Land Policy & Legislation; Access to Land & Tenure Security"
public ownership;
rangelands;Land Use, Management & Investment
reforestation;Land Use, Management & Investment
resource management;Land Use, Management & Investment
right of access;Access to Land & Tenure Security
soil degradation;Land Use, Management & Investment
soil management;Land Use, Management & Investment
spatial database;Land Use, Management & Investment
sustainable forest management;Land Use, Management & Investment
sustainable land management;Land Use, Management & Investment
tenure;Access to Land & Tenure Security
urban agriculture;Land Use, Management & Investment
urban areas;
urban planning;Land Use, Management & Investment
urbanization;
valuation;Land Use, Management & Investment
water management;Land Use, Management & Investment
water resources;Land Use, Management & Investment
water rights;Land Use, Management & Investment
